service_id,date,exception_type
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250701,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250701,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250701,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250702,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250702,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250702,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250703,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250703,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250703,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250704,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250704,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250704,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250707,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250707,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250707,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250708,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250708,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250708,1
