trans_id,lang,translation,category,station_sid,course_sid
江波南一丁目,zh-ch,江波南一丁目,stop_name,f9739c66-c426-47f4-b451-3b934fb3be4b,
江波南一丁目,zh-tw,江波南一丁目,stop_name,f9739c66-c426-47f4-b451-3b934fb3be4b,
渕崎,en,Fuchizaki,stop_name,128d1b0c-f1af-4a7c-bb80-8df7ef1de04a,
渕崎,ko,후치자키,stop_name,128d1b0c-f1af-4a7c-bb80-8df7ef1de04a,
渕崎,zh-ch,渊崎,stop_name,128d1b0c-f1af-4a7c-bb80-8df7ef1de04a,
渕崎,zh-tw,淵崎,stop_name,128d1b0c-f1af-4a7c-bb80-8df7ef1de04a,
向洋新町車庫,en,Mukainada-shinmachi Shako (Mukainada-shinmachi Depot),stop_name,84c0f2b9-c2a2-4210-85a4-f36a863f099c,
向洋新町車庫,ko,무카이나다 신마치 차고,stop_name,84c0f2b9-c2a2-4210-85a4-f36a863f099c,
向洋新町車庫,zh-ch,向洋新町车库,stop_name,84c0f2b9-c2a2-4210-85a4-f36a863f099c,
向洋新町車庫,zh-tw,向洋新町車庫,stop_name,84c0f2b9-c2a2-4210-85a4-f36a863f099c,
呉本通り六丁目,en,Kure-hondori-rokuchome (Kure-hondori 6),stop_name,ed2f16fa-98b3-4ff2-86bb-c1d826477419,
呉本通り六丁目,ko,구레혼도리 6초메,stop_name,ed2f16fa-98b3-4ff2-86bb-c1d826477419,
呉本通り六丁目,zh-ch,吴本通六丁目,stop_name,ed2f16fa-98b3-4ff2-86bb-c1d826477419,
呉本通り六丁目,zh-tw,吳本通六丁目,stop_name,ed2f16fa-98b3-4ff2-86bb-c1d826477419,
こころ産業団地中,en,Kokoro Sangyodanchi-naka,stop_name,4adc6b00-f9e7-4cae-9a4a-25bc37471066,
こころ産業団地中,ko,고코로 산업단지,stop_name,4adc6b00-f9e7-4cae-9a4a-25bc37471066,
こころ産業団地中,zh-ch,COCORO产业团地中,stop_name,4adc6b00-f9e7-4cae-9a4a-25bc37471066,
こころ産業団地中,zh-tw,COCORO產業團地中,stop_name,4adc6b00-f9e7-4cae-9a4a-25bc37471066,
リハビリセンター前,en,Rihabiri Center-mae (Rehabilitation Center),stop_name,f142be60-4085-4ead-9564-2b0b75b1e65e,
リハビリセンター前,ko,리하비리 센터 마에,stop_name,f142be60-4085-4ead-9564-2b0b75b1e65e,
